=====================================================================================================================================================================
Beale optimizer                                       cost      time [us]       |grad|/|fval|    #fails    #iters         #fcalls         #gcalls         speed      
.....................................................................................................................................................................
lbfgs[init-unit][interp]                              75        27.154525       0.000000         0         17.972406      25.052980       25.052980       0.031699   
lbfgs[init-quadratic][interp]                         76        27.935982       0.000000         0         18.860927      25.656733       25.656733       0.036014   
lbfgs[init-unit][backtrack-Wolfe]                     79        24.803532       0.000000         0         18.409492      26.580574       26.580574       0.031783   
lbfgs[init-unit][backtrack-strong-Wolfe]              80        23.709713       0.000000         0         18.005519      26.826711       26.826711       0.026986   
lbfgs[init-quadratic][backtrack-strong-Wolfe]         83        26.394040       0.000000         0         19.278146      27.994481       27.994481       0.032897   
lbfgs[init-quadratic][backtrack-Wolfe]                84        26.508830       0.000000         0         19.906181      28.153422       28.153422       0.035974   
lbfgs[init-quadratic][cgdescent]                      142       65.392936       0.000000         0         16.783664      47.395143       47.395143       0.147905   
lbfgs[init-unit][cgdescent]                           146       65.822296       0.000000         0         16.909492      48.873068       48.873068       0.149595   
cgd-hs[init-quadratic][interp]                        149       25.982495       0.000000         0         12.481400      49.925602       49.925602       0.039842   
cgd-ls[init-quadratic][interp]                        152       27.359956       0.000000         0         12.852298      50.676149       50.676149       0.037842   
cgd-n[init-quadratic][interp]                         160       29.324945       0.000000         0         13.794311      53.391685       53.391685       0.034032   
cgd-hs[init-unit][interp]                             161       29.879650       0.000000         0         12.843545      53.711160       53.711160       0.049980   
cgd-ls[init-unit][interp]                             163       28.676149       0.000000         0         13.385120      54.343545       54.343545       0.039777   
cgd-n[init-unit][interp]                              172       31.551422       0.000000         0         13.851204      57.512035       57.512035       0.035882   
cgd-prp[init-quadratic][interp]                       187       30.492341       0.000000         0         16.437637      62.397155       62.397155       0.080186   
cgd-prp[init-unit][interp]                            189       32.274617       0.000000         0         16.345733      63.245077       63.245077       0.092604   
cgd-hs[init-quadratic][cgdescent]                     191       80.374179       0.000000         0         12.283370      63.869803       63.869803       0.090733   
cgd-ls[init-quadratic][cgdescent]                     194       71.312910       0.000000         0         12.655361      64.675055       64.675055       0.089097   
cgd-hs[init-unit][cgdescent]                          198       76.328228       0.000000         0         12.328228      66.060175       66.060175       0.092130   
cgd-ls[init-unit][cgdescent]                          202       71.419037       0.000000         0         12.754923      67.427790       67.427790       0.090784   
cgd-n[init-quadratic][cgdescent]                      204       79.182713       0.000000         0         13.503282      68.304158       68.304158       0.102133   
cgd-n[init-unit][cgdescent]                           211       79.759300       0.000000         0         13.484683      70.621444       70.621444       0.102041   
cgd-prp[init-quadratic][cgdescent]                    218       79.249453       0.000000         0         14.322757      72.736324       72.736324       0.115629   
cgd-prp[init-unit][cgdescent]                         228       79.859956       0.000000         0         14.538293      76.176149       76.176149       0.118807   
lbfgs[init-consistent][interp]                        487       115.440397      0.000000         0         24.786976      162.453642      162.453642      0.281051   
cgd-hs[init-consistent][interp]                       536       99.960613       0.000000         0         11.482495      178.849015      178.849015      0.092485   
cgd-n[init-consistent][interp]                        540       114.082057      0.000000         0         12.382932      180.154267      180.154267      0.115177   
cgd-ls[init-consistent][interp]                       540       108.239606      0.000000         0         11.559081      180.264770      180.264770      0.098821   
cgd-ls[init-consistent][cgdescent]                    609       193.730853      0.000000         0         13.192560      203.207877      203.207877      0.147967   
cgd-prp[init-consistent][interp]                      627       124.678337      0.000000         0         12.733042      209.131291      209.131291      0.113436   
lbfgs[init-consistent][cgdescent]                     629       204.496689      0.000000         0         17.251656      209.972406      209.972406      0.205348   
cgd-n[init-consistent][cgdescent]                     703       226.331510      0.000000         0         14.047046      234.502188      234.502188      0.156538   
cgd-dy[init-quadratic][backtrack-Armijo]              769       85.697700       0.000000         0         162.299014     256.550931      256.550931      0.790691   
cgd-prp[init-consistent][cgdescent]                   782       254.278993      0.000000         0         14.957330      260.911379      260.911379      0.172497   
cgd-dyhs[init-unit][interp]                           794       163.230853      0.000000         0         108.470460     264.928884      264.928884      0.610151   
cgd-dyhs[init-quadratic][interp]                      801       154.816193      0.000000         0         110.321663     267.271335      267.271335      0.622364   
cgd-ls[init-quadratic][backtrack-Wolfe]               911       62.982571       0.000000         0         81.565359      303.953159      303.953159      0.629948   
cgd-dyhs[init-quadratic][backtrack-Wolfe]             989       83.189749       0.000000         0         96.919302      329.731734      329.731734      0.684162   
cgd-dycd[init-quadratic][interp]                      1035      203.551422      0.000000         0         141.749453     345.149891      345.149891      0.726196   
cgd-n[init-quadratic][backtrack-Armijo]               1147      149.256861      0.000000         0         266.961581     382.588364      382.588364      0.867753   
cgd-prp[init-quadratic][backtrack-Wolfe]              1179      80.217012       0.000000         0         105.112323     393.111232      393.111232      0.717398   
cgd-dycd[init-quadratic][backtrack-Wolfe]             1236      94.962923       0.000000         0         119.767721     412.061069      412.061069      0.727570   
cgd-dyhs[init-unit][cgdescent]                        1245      331.460613      0.000000         0         104.684902     415.079869      415.079869      0.606632   
cgd-n[init-quadratic][backtrack-Wolfe]                1343      114.535011      0.000000         0         148.043764     447.796499      447.796499      0.772289   
cgd-dycd[init-unit][interp]                           1436      263.285558      0.000000         0         155.051422     478.924508      478.924508      0.736403   
cgd-fr[init-quadratic][interp]                        1446      249.782276      0.000000         0         195.228665     482.092998      482.092998      0.691876   
cgd-dyhs[init-quadratic][cgdescent]                   1465      376.338074      0.000000         0         126.887309     488.379650      488.379650      0.672728   
cgd-dyhs[init-unit][backtrack-Wolfe]                  1517      98.472492       0.000000         0         104.789644     505.839266      505.839266      0.678607   
cgd-dy[init-quadratic][interp]                        1523      300.378556      0.000000         0         210.758206     507.933260      507.933260      0.717695   
cgd-dyhs[init-unit][backtrack-Armijo]                 1564      94.666308       0.000000         0         109.969860     521.617869      521.617869      0.669509   
cgd-dy[init-quadratic][backtrack-Wolfe]               1593      123.488550      0.000000         0         208.931298     531.152672      531.152672      0.732320   
cgd-dycd[init-quadratic][backtrack-Armijo]            1643      209.622538      0.000000         0         412.235230     547.927790      547.927790      0.920022   
cgd-dycd[init-unit][cgdescent]                        1654      448.113786      0.000000         0         137.942013     551.507659      551.507659      0.739574   
cgd-cd[init-unit][cgdescent]                          1654      422.153173      0.000000         0         137.942013     551.507659      551.507659      0.739574   
cgd-fr[init-quadratic][backtrack-Wolfe]               1661      123.117391      0.000000         0         162.295652     553.804348      553.804348      0.775982   
cgd-dycd[init-quadratic][cgdescent]                   1755      477.235230      0.000000         0         152.504376     585.306346      585.306346      0.749834   
cgd-cd[init-quadratic][cgdescent]                     1755      468.580963      0.000000         0         152.504376     585.306346      585.306346      0.749834   
lbfgs[init-consistent][backtrack-strong-Wolfe]        1915      121.668874      0.000000         0         39.562914      638.524283      638.524283      0.566634   
cgd-dyhs[init-quadratic][backtrack-Armijo]            2142      282.153677      0.000000         0         541.812294     714.124040      714.124040      0.928108   
lbfgs[init-consistent][backtrack-Wolfe]               2167      137.513245      0.000000         0         42.153422      722.504415      722.504415      0.587977   
cgd-ls[init-unit][backtrack-Wolfe]                    2199      134.079314      0.000000         0         128.841372     733.319400      733.319400      0.729203   
